Name Of Project,Address,Primary Funding Source/ Assistance Type Description,Primary Expiration Date,Total Units,Restricted/ Assisted Units,Target Group (Senior),Type of Conversion Risk
Sangnok Apartments,726 S. Bonnie Brae St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43971,60,60,Yes,Restriction Expiration
Village Acquisition,10415 Lurline,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44007,12,12,No,Restriction Expiration
His Sheltering Arms,11101 S. Main Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44012,110,110,No,Restriction Expiration
Gentry Village,6842 N. Gentry Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43839,3,3,No,Restriction Expiration
Stage Inn (A.k.a. Hollywood State Inn),1057 Vine Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44124,30,30,No,Restriction Expiration
Academy Village,5225 N. Blakeslee Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44130,248,50,No,Restriction Expiration
Las Torres,944 S. Grattan St.,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,40928,105,104,Yes,Mortgage Maturity/ Prepayment
Rancho Del Valle,6530 N. Winnetka Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41263,25,24,Yes,Restriction Expiration
Westminster Park Plaza Apts (9400 Maie Avenue Apts),9200 S. Maie Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44180,130,130,No,Restriction Expiration
Women’s Care Cottage,6428 Whitsett Ave,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44184,15,15,No,Restriction Expiration
Duane Heights,2271 Duane St.,California Low-Income Housing Tax Credit Program (LIHTC),44196,14,14,No,Restriction Expiration
Vendome Apartments (Vendome Palms -Pshp),975 N. Vendome St.,California Low-Income Housing Tax Credit Program (LIHTC),44196,43,41,No,Restriction Expiration
Dalton Arms,2640 S. Dalton Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44197,5,5,No,Restriction Expiration
Armay Bakery/Noodle Co.,686 N Spring St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44197,4,4,No,Restriction Expiration
Wisconsin Ii (3839 Wisconsin St Apts #2),3839 Wisconsin St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44501,12,12,No,Restriction Expiration
Caring For Babies With Aids,5930 Comey Avenue,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44531,8,8,No,Restriction Expiration
"Otero Apartments, Ltd",3639 E. Whittier Blvd,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44410,7,7,No,Restriction Expiration
Lorne Park,11040 Lorne St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44286,72,55,No,Restriction Expiration
Vermont Knoll Retirement,1016 W. 83Rd St.,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Housing Bond Financing Program (MHBP),44200,93,18,No,Restriction Expiration
La Men’’S Place (Lamp Lodge Or Lamp Community),660 Stanford Avenue,California Housing and Community Development Multifamily Housing Programs (HCD),44302,51,50,No,Restriction Expiration
New Horizons Iii,15713 W. Parthenia St.,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,44202,6,6,Yes,Mortgage Maturity/ Prepayment
New Horizons Ii,15746 W. Parthenia St,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,44202,6,6,Yes,Mortgage Maturity/ Prepayment
New Horizons I,15756 W. Parthenia St,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,44202,6,6,Yes,Mortgage Maturity/ Prepayment
12342 Osborne Place,12342 W. Osborne Pl.,City of Los Angeles Land Use Restrictions - Density Bonus,44383,24,5,No,Restriction Expiration
Casa Del Sol,1308 N. Lyman Pl.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44374,8,8,No,Restriction Expiration
Manhattan Place,3663 W. 9Th Street,California Housing Finance Agency Multifamily Housing Programs (CalHFA),44203,60,30,Yes,Restriction Expiration
New Hampshire Villa,625 N New Hampshire Ave,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44402,18,18,No,Restriction Expiration
Alice Manor,10305 S. Grandee,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,44205,60,60,Yes,Mortgage Maturity/ Prepayment
"Hayes, Ethel",2203 S. Harvard Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44465,2,2,No,Restriction Expiration
La Family Harmony Apartments,5319 N. Harmony Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44469,18,18,No,Restriction Expiration
Wattswood Relocation 2/8,1401 E. 52Nd Street,HUD Project-Based Section 8 Rental Assistance (PBRA),44469,4,4,No,Rental Subsidy Termination
Wattswood Relocation 1/8,629 E. 48Th St.,HUD Project-Based Section 8 Rental Assistance (PBRA),44469,12,12,No,Rental Subsidy Termination
Wattswood Relocation 6/8,1639 E. 92Nd Street,HUD Project-Based Section 8 Rental Assistance (PBRA),44469,11,11,No,Rental Subsidy Termination
Filipino American Service Group,135 N Park View St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44485,20,20,No,Restriction Expiration
The Versailles,23100 W. Avenue San Luis,City of Los Angeles Land Use Restrictions - Density Bonus,40989,253,38,No,Restriction Expiration
St. James Place (St. James Square),1833 W. 5Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44549,70,70,No,Restriction Expiration
Jan Clayton Center (V.o.a),4965 Sunset Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44550,42,42,No,Restriction Expiration
Prentice Apartments (Prentice Hotel),1010 E. 7Th St.,California Low-Income Housing Tax Credit Program (LIHTC),44561,45,45,No,Restriction Expiration
Kilgore Manor Apartments,2411 S. Central Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),44561,51,51,Yes,Rental Subsidy Termination
Macarthur Park Towers,450 Grand View St,California Low-Income Housing Tax Credit Program (LIHTC),44561,183,183,Yes,Restriction Expiration
Ward Ame Elderly (Ward Villas),1177 W. Adams Blvd,California Low-Income Housing Tax Credit Program (LIHTC),44561,120,120,Yes,Restriction Expiration
219 E. Ave 31 Apts,219 E. Avenue 31,City of Los Angeles Land Use Restrictions,44576,5,1,No,Restriction Expiration
Wadsworth Place,911 E. 120Th St.,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,44563,36,35,Yes,Mortgage Maturity/ Prepayment
Testimonial Love Center,5701 S. Western Avenue,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44807,30,30,No,Restriction Expiration
Fame (Fame North East Apts),2232 S. Harvard Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44637,24,24,No,Restriction Expiration
Main St. Associates,235 Main St.,City of Los Angeles Land Use Restrictions,44735,89,23,Yes,Restriction Expiration
Morris Rosen Sr. Apartments,245 Main St.,City of Los Angeles Land Use Restrictions,44735,89,23,Yes,Restriction Expiration
Queen Apts/4,5217 W. Marathon St.,HUD Project-Based Section 8 Rental Assistance (PBRA),44773,20,20,No,Rental Subsidy Termination
Queen Apts/3,516 S. Union Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),44773,30,30,No,Rental Subsidy Termination
Queen Apts/2,2620 S. Orchard Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),44773,16,16,No,Rental Subsidy Termination
Queen Apts/1,445 S. Lucas Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),44773,16,16,No,Rental Subsidy Termination
Queen Apts/5,451 S. Lucas Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),44773,14,14,No,Rental Subsidy Termination
Art Share Transitional Hsg,801 East 4Th Place,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),44781,30,30,No,Restriction Expiration
Carter House,449 W. 78Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44792,21,21,Yes,Restriction Expiration
La Hacienda I Apts A,2126 W. Cambridge St.,HUD Project-Based Section 8 Rental Assistance (PBRA),40381,14,14,No,Rental Subsidy Termination
Hsg For The Multi- Hand/Blind,20619 W. Devonshire St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),45099,12,12,No,Restriction Expiration
Project Headway,8431 Geyser Ave,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),45134,6,6,No,Restriction Expiration
1809 W. 11Th Street,1809 W. 11Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),45167,63,63,No,Restriction Expiration
Arirang Housing,1725 N. Whitley Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),45196,74,74,No,Restriction Expiration
